,zip,Total Population,Unemployment Rate,Per Capita Income,Percent Insured,hospital facilities,doctors,nml_emp,nml_inc,nml_ins,color_key_inc,color_key_emp,color_key_ins
130,20640,8283,7,30311.0,94.8,,,0.9299999999999999,0.10167075326452643,0.948,#482576,#d2e21b,#dde318
131,20645,697,5,52551.0,98.5,,,0.95,0.1762693330739378,0.985,#433d84,#dfe318,#f6e620
132,20646,16534,4,42299.0,95.6,,,0.96,0.14188153450352028,0.956,#46327e,#e5e419,#e2e418
133,20650,11211,4,46577.0,93.7,,,0.96,0.15623102750822632,0.937,#453581,#e5e419,#d5e21a
134,20653,18365,4,34437.0,92.9,,,0.96,0.11551039986046309,0.929,#482979,#e5e419,#d0e11c
135,20657,14350,9,37011.0,92.8,,,0.91,0.12414424628264946,0.9279999999999999,#472c7a,#c2df23,#d0e11c
136,20658,734,12,30479.0,97.0,,,0.88,0.10223426771632414,0.97,#482576,#b0dd2f,#ece51b
137,20659,18311,2,36117.0,93.5,,,0.98,0.1211455443784402,0.935,#472c7a,#f1e51d,#d5e21a
138,20660,28,0,,100.0,,,1.0,,1.0,#440154,#fde725,#fde725
139,20662,2388,8,31069.0,97.6,,,0.92,0.10421327680299468,0.976,#482576,#cae11f,#efe51c
140,20664,2653,2,31018.0,94.8,,,0.98,0.1040422099158418,0.948,#482576,#f1e51d,#dde318
141,20667,618,5,24587.0,97.3,,,0.95,0.08247101087113297,0.973,#481f70,#dfe318,#efe51c
142,20670,1107,5,20360.0,100.0,,,0.95,0.06829258475357983,1.0,#481a6c,#dfe318,#fde725
143,20674,705,7,38234.0,98.6,,,0.9299999999999999,0.12824649732162924,0.986,#472d7b,#d2e21b,#f6e620
144,20675,1638,8,38195.0,92.6,,,0.92,0.12811568146674762,0.9259999999999999,#472d7b,#cae11f,#d0e11c
145,20676,3220,4,35790.0,97.3,,,0.96,0.12004870374904823,0.973,#472a7a,#e5e419,#efe51c
146,20677,2060,4,43960.0,96.3,,,0.96,0.14745294822040123,0.963,#46337f,#e5e419,#e7e419
147,20678,10257,7,36498.0,93.9,,,0.9299999999999999,0.12242351465305287,0.9390000000000001,#472c7a,#d2e21b,#d8e219
148,20680,648,7,26715.0,96.9,,,0.9299999999999999,0.08960886059390398,0.9690000000000001,#482071,#d2e21b,#ece51b
149,20684,1486,18,41202.0,92.2,,,0.8200000000000001,0.1382019193033888,0.922,#46307e,#86d549,#cde11d
150,20685,5449,7,40909.0,94.4,,,0.9299999999999999,0.1372191232654321,0.9440000000000001,#46307e,#d2e21b,#dae319
151,20686,1532,0,4312.0,98.5,,,1.0,0.014463537596141269,0.985,#450559,#fde725,#f6e620
152,20687,203,0,51678.0,100.0,,,1.0,0.17334107047620326,1.0,#443b84,#fde725,#fde725
153,20688,1690,7,73269.0,100.0,,,0.9299999999999999,0.24576274029027703,1.0,#3c508b,#d2e21b,#fde725
154,20689,1709,0,44184.0,100.0,,,1.0,0.14820430082279817,1.0,#46337f,#fde725,#fde725
155,20690,723,5,45388.0,100.0,,,0.95,0.1522428210606818,1.0,#463480,#dfe318,#fde725
156,20692,1009,6,39234.0,98.7,,,0.94,0.13160075001090132,0.987,#472e7c,#d8e219,#f6e620
157,20693,858,3,49056.0,98.9,,,0.97,0.16454621992493182,0.9890000000000001,#443983,#ece51b,#f8e621
158,20695,6317,5,40797.0,97.5,,,0.95,0.13684344696423362,0.975,#46307e,#dfe318,#efe51c
159,20701,0,0,0.0,0.0,,,1.0,0.0,0.0,#440154,#fde725,#440154
160,20705,21848,7,32677.0,88.2,,,0.9299999999999999,0.1096069151273442,0.882,#482878,#d2e21b,#b0dd2f
161,20706,31739,7,29999.0,85.9,,85.0,0.9299999999999999,0.10062422642547354,0.8590000000000001,#482475,#d2e21b,#a0da39
162,20707,25750,5,37922.0,90.3,,,0.95,0.12719997048257634,0.903,#472d7b,#dfe318,#c0df25
163,20708,20220,7,33919.0,88.5,,,0.9299999999999999,0.11377289696742014,0.885,#482979,#d2e21b,#b2dd2d
164,20710,7104,8,22297.0,81.8,,4.0,0.92,0.07478977221269988,0.818,#481c6e,#cae11f,#86d549
165,20711,5421,4,33692.0,96.3,,,0.96,0.11301148160695537,0.963,#482878,#e5e419,#e7e419
166,20712,7307,8,26529.0,81.2,1.0,2.0,0.92,0.08898496959369938,0.812,#482071,#cae11f,#81d34d
167,20714,3817,13,44121.0,95.9,,,0.87,0.14799298290337404,0.9590000000000001,#46337f,#a8db34,#e5e419
168,20715,21601,5,43638.0,95.0,,,0.95,0.14637287885445563,0.95,#46337f,#dfe318,#dfe318
169,20716,17913,6,43305.0,94.1,,,0.94,0.14525591270892801,0.941,#46337f,#d8e219,#d8e219
170,20720,18056,4,50326.0,96.1,,,0.96,0.16880612084030738,0.961,#443a83,#e5e419,#e7e419
171,20721,24592,7,49180.0,96.0,,,0.9299999999999999,0.16496214725840155,0.96,#443983,#d2e21b,#e5e419
172,20722,4609,5,27202.0,79.9,1.0,30.0,0.95,0.0912423816535795,0.799,#482173,#dfe318,#7ad151
173,20723,25867,5,44333.0,91.4,,,0.95,0.14870408447349973,0.914,#463480,#dfe318,#c5e021
174,20724,13881,5,41793.0,92.2,,,0.95,0.1401842826427486,0.922,#46307e,#dfe318,#cde11d
175,20732,7882,6,39736.0,94.3,,,0.94,0.1332845848609159,0.943,#472f7d,#d8e219,#dae319
176,20733,2295,2,39450.0,98.5,,,0.98,0.1323252685917841,0.985,#472e7c,#f1e51d,#f6e620
177,20735,30987,6,40525.0,93.9,,,0.94,0.1359310902327516,0.9390000000000001,#472f7d,#d8e219,#d8e219
178,20736,7272,3,47446.0,98.2,,,0.97,0.15914587309520375,0.982,#453781,#ece51b,#f4e61e
179,20737,16153,5,22702.0,73.4,,49.0,0.95,0.07614824455185507,0.7340000000000001,#481c6e,#dfe318,#54c568
180,20740,28596,6,28159.0,90.8,,79.0,0.94,0.09445240147721289,0.9079999999999999,#482374,#d8e219,#c2df23
181,20742,6613,1,2290.0,99.5,,1.0,0.99,0.0076812386584330945,0.995,#440256,#f8e621,#fbe723
182,20743,31655,11,27350.0,89.3,,22.0,0.89,0.09173881105159176,0.893,#482173,#b5de2b,#b8de29
183,20744,45988,9,40353.0,90.7,,,0.91,0.1353541587701968,0.907,#472f7d,#c2df23,#c2df23
184,20745,23099,10,28083.0,83.9,,61.0,0.9,0.0941974782728282,0.8390000000000001,#482374,#bddf26,#93d741
185,20746,21977,7,31498.0,90.0,,50.0,0.9299999999999999,0.1056522512066924,0.9,#482677,#d2e21b,#bddf26
186,20747,30659,9,29929.0,91.6,,35.0,0.91,0.10038942873722449,0.9159999999999999,#482475,#c2df23,#c8e020
187,20748,31489,9,33290.0,91.3,,22.0,0.91,0.11166307202586799,0.9129999999999999,#482878,#c2df23,#c5e021
188,20751,2012,4,50570.0,99.0,,,0.96,0.16962455849648977,0.99,#443a83,#e5e419,#f8e621
189,20754,5603,6,45226.0,93.8,,,0.94,0.1516994321250197,0.938,#463480,#d8e219,#d8e219
190,20755,6904,10,23711.0,96.8,,,0.9,0.07953268551533062,0.968,#481d6f,#bddf26,#eae51a
191,20758,420,3,53661.0,100.0,,,0.97,0.17999255355902982,1.0,#433e85,#ece51b,#fde725
192,20759,3575,3,68575.0,96.4,,,0.97,0.23001787816683383,0.9640000000000001,#3e4c8a,#ece51b,#e7e419
193,20762,1870,2,24428.0,99.3,,34.0,0.98,0.08193768469353871,0.993,#481d6f,#f1e51d,#fbe723
194,20763,1731,12,38690.0,92.1,,,0.88,0.1297760365479373,0.9209999999999999,#472e7c,#b0dd2f,#cae11f
195,20764,3353,6,33925.0,94.2,,,0.94,0.11379302248355577,0.9420000000000001,#482979,#d8e219,#dae319
196,20765,411,18,54115.0,91.5,,,0.8200000000000001,0.18151538427995934,0.915,#433e85,#86d549,#c8e020
197,20769,5705,4,46509.0,91.5,,,0.96,0.1560029383253558,0.915,#453581,#e5e419,#c8e020
198,20770,20269,6,34262.0,87.3,,5.0,0.94,0.11492340563984048,0.873,#482979,#d8e219,#aadc32
199,20772,36863,5,43343.0,94.5,,5.0,0.95,0.14538337431112036,0.945,#46337f,#dfe318,#dae319
200,20774,38216,6,43304.0,93.6,,1.0,0.94,0.14525255845623875,0.9359999999999999,#46337f,#d8e219,#d5e21a
201,20776,2521,3,40067.0,97.1,,,0.97,0.13439484250106498,0.971,#472f7d,#ece51b,#ece51b
202,20777,2792,3,79439.0,97.0,,,0.97,0.26645847938308587,0.97,#39568c,#ece51b,#ece51b
203,20778,1598,5,50059.0,97.5,,,0.95,0.16791053537227174,0.975,#443983,#dfe318,#efe51c
204,20779,943,4,56830.0,96.9,,,0.96,0.19062218033133307,0.9690000000000001,#424086,#e5e419,#ece51b
205,20781,8838,4,32024.0,80.9,,2.0,0.96,0.10741658812124953,0.809,#482677,#e5e419,#81d34d
206,20782,25856,5,30650.0,81.0,1.0,65.0,0.95,0.10280784492618968,0.81,#482576,#dfe318,#81d34d
207,20783,36039,4,22497.0,65.0,2.0,31.0,0.96,0.07546062275055429,0.65,#481c6e,#e5e419,#2fb47c
208,20784,23415,9,27272.0,82.5,,34.0,0.91,0.09147717934182854,0.825,#482173,#c2df23,#8bd646
209,20785,28562,9,31098.0,88.6,,85.0,0.91,0.10431055013098357,0.8859999999999999,#482576,#c2df23,#b2dd2d
210,20794,14578,6,24621.0,92.0,,,0.94,0.08258505546256821,0.92,#481f70,#d8e219,#cae11f
211,20812,243,2,69219.0,97.7,,3.0,0.98,0.23217801689872505,0.977,#3d4d8a,#f1e51d,#f1e51d
212,20814,23961,3,78293.0,97.8,29.0,79.0,0.97,0.26261450580118,0.978,#39558c,#ece51b,#f1e51d
213,20815,24706,3,103067.0,96.3,14.0,50.0,0.97,0.3457127619252069,0.963,#2f6b8e,#ece51b,#e7e419
214,20816,12429,3,99522.0,98.9,5.0,54.0,0.97,0.3338219361417373,0.9890000000000001,#31688e,#ece51b,#f8e621
215,20817,29005,3,91919.0,97.9,2.0,88.0,0.97,0.3083195529452016,0.9790000000000001,#34618d,#ece51b,#f1e51d
216,20818,1584,6,93084.0,97.8,,16.0,0.94,0.31222725732820356,0.978,#33628d,#d8e219,#f1e51d
217,20832,21219,2,49905.0,97.9,,,0.98,0.16739398045812384,0.9790000000000001,#443983,#f1e51d,#f1e51d
218,20833,6026,4,59788.0,95.7,,,0.96,0.20054405978619994,0.9570000000000001,#414487,#e5e419,#e2e418
219,20837,4983,5,56555.0,96.9,,,0.95,0.18969976084178325,0.9690000000000001,#424086,#dfe318,#ece51b
220,20838,211,0,61301.0,97.5,,,1.0,0.20561904410506862,0.975,#404588,#fde725,#efe51c
221,20839,53,0,41235.0,97.0,,,1.0,0.1383126096421348,0.97,#46307e,#fde725,#ece51b
222,20841,8063,2,48614.0,96.8,,,0.98,0.16306364023627357,0.968,#453882,#f1e51d,#eae51a
223,20842,1592,8,56238.0,93.8,,,0.92,0.188636462739284,0.938,#424086,#cae11f,#d8e219
224,20850,40669,5,52750.0,94.3,,,0.95,0.17693682935910293,0.943,#433d84,#dfe318,#dae319
225,20851,11811,6,34994.0,78.3,,,0.94,0.11737871860838764,0.7829999999999999,#472a7a,#d8e219,#70cf57
226,20852,38647,4,57388.0,94.4,,,0.96,0.1924938533319469,0.9440000000000001,#424186,#e5e419,#dae319
227,20853,25011,6,44827.0,90.4,,,0.94,0.15036108530200015,0.904,#463480,#d8e219,#c0df25
228,20854,39214,2,89796.0,97.5,,,0.98,0.30119847448587694,0.975,#34608d,#f1e51d,#efe51c
229,20855,12130,6,55498.0,94.4,,,0.94,0.18615431574922264,0.9440000000000001,#423f85,#d8e219,#dae319
230,20860,2109,7,50642.0,94.7,,,0.9299999999999999,0.16986606469011736,0.9470000000000001,#443a83,#d2e21b,#dde318
231,20861,1516,2,74215.0,97.1,,,0.98,0.24893586333432843,0.971,#3b518b,#f1e51d,#ece51b
232,20862,255,0,44448.0,100.0,,,1.0,0.149089823532766,1.0,#463480,#fde725,#fde725
233,20866,12018,7,37256.0,90.1,,,0.9299999999999999,0.12496603819152112,0.9009999999999999,#472c7a,#d2e21b,#bddf26
234,20868,568,9,71249.0,92.9,,,0.91,0.2389871498579474,0.929,#3c4f8a,#c2df23,#d0e11c
235,20871,14148,4,45174.0,95.2,,,0.96,0.15152501098517757,0.9520000000000001,#463480,#e5e419,#dfe318
236,20872,10366,3,42404.0,96.8,,,0.97,0.14223373103589385,0.968,#46327e,#ece51b,#eae51a
237,20874,46434,5,40441.0,92.4,,,0.95,0.13564933300685275,0.924,#472f7d,#dfe318,#cde11d
238,20876,21461,4,38718.0,91.1,,,0.96,0.12986995562323692,0.9109999999999999,#472e7c,#e5e419,#c5e021
239,20877,30247,6,30320.0,81.3,,,0.94,0.10170094153872988,0.813,#482576,#d8e219,#84d44b
240,20878,50712,4,54676.0,94.7,,,0.96,0.183397120038641,0.9470000000000001,#433e85,#e5e419,#dde318
241,20879,20474,6,33665.0,90.6,,,0.94,0.11292091678434503,0.9059999999999999,#482878,#d8e219,#c0df25
